iter	Passed	Remaining
468	699	792
469	701	791
470	702	788
471	703	786
472	704	784
473	705	782
474	705	780
475	706	777
476	707	775
477	708	773
478	708	771
479	709	768
480	710	766
481	713	766
482	714	764
483	715	762
484	716	760
485	717	758
486	717	756
487	718	754
488	719	752
489	720	750
490	721	747
491	721	745
492	722	743
493	723	741
494	724	738
495	726	737
496	728	737
497	729	735
498	730	733
499	731	731
500	732	729
501	733	727
502	734	725
503	735	723
504	736	721
505	736	719
506	737	717
507	738	715
508	739	713
509	741	712
510	742	710
511	743	708
512	744	706
513	745	705
514	746	703
515	747	701
516	748	699
517	749	697
518	749	694
519	750	692
520	751	690
521	752	688
522	752	686
523	753	684
524	755	683
525	756	682
526	757	680
527	758	678
528	759	676
529	760	674
530	761	672
531	761	670
532	762	668
533	763	666
534	764	664
535	765	662
536	765	660
537	766	658
538	767	656
539	768	654
540	770	654
541	772	652
542	773	650
543	774	648
544	775	647
545	775	645
546	776	643
547	777	641
548	778	639
549	779	637
550	780	635
551	781	633
552	781	632
553	782	630
554	783	628
555	785	627
556	786	625
557	787	624
558	788	622
559	789	620
560	790	618
561	790	616
562	791	614
563	792	612
564	793	610
565	793	608
566	794	606
567	795	605
568	796	603
569	797	601
570	797	599
571	800	598
572	801	597
573	802	595
574	803	593
575	804	592
576	805	590
577	806	588
578	807	586
579	808	585
580	808	583
581	809	581
582	810	579
583	810	577
584	811	575
585	812	573
586	814	573
587	815	571
588	816	569
589	817	568
590	818	566
591	819	564
592	820	562
593	820	561
594	821	559
595	822	557
596	823	555
597	823	553
598	824	552
599	825	550
600	825	548
601	826	546
602	827	544
603	828	542
604	829	541
605	830	540
606	831	538
607	832	536
608	833	535
609	834	533
610	834	531
611	835	529
612	836	528
613	837	526
614	838	524
615	838	522
616	839	521
617	840	519
618	841	517
619	841	515
620	842	514
621	843	512
622	845	511
623	846	509
624	847	508
625	848	506
626	848	504
627	850	503
628	851	502
629	852	500
630	853	499
631	854	497
632	855	495
633	855	494
634	856	492
635	857	490
636	858	489
637	860	488
638	861	486
639	862	485
640	863	483
641	864	481
642	865	480
643	865	478
644	866	476
645	867	475
646	868	473
647	868	471
648	869	470
649	870	468
650	870	466
651	871	465
652	872	463
653	874	462
654	875	461
655	877	460
656	878	458
657	879	457
658	880	455
659	880	453
660	881	452
661	882	450
662	883	448
663	883	447
664	884	445
665	885	444
666	886	442
667	887	440
668	888	439
669	890	438
670	891	437
671	892	435
672	894	434
673	895	433
674	896	431
675	897	429
676	898	428
677	899	427
678	900	425
679	901	424
680	904	423
681	905	422
682	906	420
683	907	419
684	908	417
685	909	416
686	910	414
687	911	413
688	912	411
689	913	410
690	914	408
691	914	407
692	915	405
693	916	404
694	918	403
695	919	401
696	920	400
697	921	398
698	922	397
699	923	395
700	923	394
701	924	392
702	925	391
703	926	389
704	927	387
705	927	386
706	928	384
707	929	383
708	930	381
709	930	380
710	932	378
711	933	377
712	934	376
713	934	374
714	935	372
715	936	371
716	936	369
717	937	368
718	938	366
719	939	365
720	939	363
721	940	362
722	941	360
723	941	359
724	942	357
725	943	356
726	944	354
727	945	353
728	946	351
729	947	350
730	948	349
731	949	347
732	950	346
733	950	344
734	951	343
735	952	341
736	953	340
737	953	338
738	954	337
739	955	335
740	955	334
741	956	332
742	957	331
743	957	329
744	958	328
745	959	326
746	960	325
747	961	323
748	962	322
749	963	321
750	964	319
751	964	318
752	965	316
753	966	315
754	967	313
755	967	312
756	968	310
757	969	309
758	969	307
759	970	306
760	971	305
761	971	303
762	972	302
763	973	300
764	974	299
765	975	297
766	976	296
767	977	295
768	978	293
769	979	292
770	979	291
771	980	289
772	981	288
773	982	286
774	983	285
775	984	284
776	985	282
777	986	281
778	987	280
779	988	278
780	989	277
781	990	276
782	991	274
783	992	273
784	993	272
785	994	270
786	995	269
787	996	268
788	997	266
789	998	265
790	998	263
791	999	262
792	1001	261
793	1001	259
794	1002	258
795	1003	257
796	1004	255
797	1005	254
798	1007	253
799	1008	252
800	1008	250
801	1009	249
802	1010	247
803	1011	246
804	1012	245
805	1013	243
806	1013	242
807	1014	241
808	1015	239
809	1016	238
810	1017	237
811	1018	235
812	1019	234
813	1020	233
814	1022	231
815	1023	230
816	1024	229
817	1024	228
818	1025	226
819	1026	225
820	1027	224
821	1028	222
822	1029	221
823	1030	220
824	1031	218
825	1032	217
826	1033	216
827	1033	214
828	1034	213
829	1036	212
830	1037	211
831	1038	209
832	1039	208
833	1040	207
834	1041	205
835	1042	204
836	1043	203
837	1044	201
838	1044	200
839	1045	199
840	1046	197
841	1047	196
842	1048	195
843	1048	193
844	1050	192
845	1051	191
846	1052	190
847	1053	188
848	1054	187
849	1055	186
850	1056	184
851	1056	183
852	1057	182
853	1058	180
854	1059	179
855	1059	178
856	1060	177
857	1061	175
858	1062	174
859	1063	173
860	1064	171
861	1065	170
862	1066	169
863	1067	168
864	1068	166
865	1069	165
866	1070	164
867	1070	162
868	1071	161
869	1072	160
870	1073	158
871	1074	157
872	1074	156
873	1075	155
874	1076	153
875	1077	152
876	1079	151
877	1080	150
878	1081	148
879	1082	147
880	1083	146
881	1084	145
882	1084	143
883	1085	142
884	1086	141
885	1087	139
886	1088	138
887	1089	137
888	1089	136
889	1090	134
890	1091	133
891	1092	132
892	1093	131
893	1095	129
894	1096	128
895	1097	127
896	1098	126
897	1099	124
898	1100	123
899	1100	122
900	1101	121
901	1102	119
902	1103	118
903	1104	117
